,close,vix,r,ret_5d,ret_21d,sigma_21d,sigma_63d,sigma_252d,vix_ret_5d,vix_ret_21d,rate_mom_21d,sentiment_proxy
close,1.0,-0.39583160701088904,-0.47936112259343083,0.10267355782989891,0.20898344104827185,-0.41589085508265117,-0.46100530511717736,-0.24254222276411105,-0.03510514867245779,-0.16198649651002345,-0.13708535222549348,0.33092248868605084
vix,-0.39583160701088904,1.0,0.49502074904306764,-0.26459141018973464,-0.4708758499865397,0.7981234677830332,0.6648439738234904,0.44627890847093277,0.27907459986612915,0.6164952181035023,0.2878292613228095,-0.7169292045140062
r,-0.47936112259343083,0.49502074904306764,1.0,0.04389431065777244,0.019871192933163074,0.5585876999990459,0.6682149310221162,0.7646403121635464,-0.023767535977929733,0.07094858718564395,0.2929756710957629,-0.061376589601151554
ret_5d,0.10267355782989891,-0.26459141018973464,0.04389431065777244,1.0,0.4311727769214803,-0.01641254909342913,0.03598701522688161,0.11238033642246574,-0.5566576671473048,-0.3902023535776062,-0.11046932230543798,0.34429825283404736
ret_21d,0.20898344104827185,-0.4708758499865397,0.019871192933163074,0.4311727769214803,1.0,-0.28847986969577066,-0.07771963395986373,0.17856124858707823,-0.1794901705459442,-0.6177826544336624,-0.29480475416038515,0.5196092524542271
sigma_21d,-0.41589085508265117,0.7981234677830332,0.5585876999990459,-0.01641254909342913,-0.28847986969577066,1.0,0.8034838788620441,0.4376518115647636,-0.04691145362998622,0.32403883535217776,0.30484956599360113,-0.40263559379392466
sigma_63d,-0.46100530511717736,0.6648439738234904,0.6682149310221162,0.03598701522688161,-0.07771963395986373,0.8034838788620441,1.0,0.6205159653340085,-0.0686158658856124,0.06390394853878778,0.10935430812867457,-0.24167885821905194
sigma_252d,-0.24254222276411105,0.44627890847093277,0.7646403121635464,0.11238033642246574,0.17856124858707823,0.4376518115647636,0.6205159653340085,1.0,-0.06542539636888549,-0.048604559815869294,-0.11711427087372522,0.08374816016647572
vix_ret_5d,-0.03510514867245779,0.27907459986612915,-0.023767535977929733,-0.5566576671473048,-0.1794901705459442,-0.04691145362998622,-0.0686158658856124,-0.06542539636888549,1.0,0.45093670548528725,0.04253154593090673,-0.391004241922356
vix_ret_21d,-0.16198649651002345,0.6164952181035023,0.07094858718564395,-0.3902023535776062,-0.6177826544336624,0.32403883535217776,0.06390394853878778,-0.048604559815869294,0.45093670548528725,1.0,0.29778989428385205,-0.5534965913719103
rate_mom_21d,-0.13708535222549348,0.2878292613228095,0.2929756710957629,-0.11046932230543798,-0.29480475416038515,0.30484956599360113,0.10935430812867457,-0.11711427087372522,0.04253154593090673,0.29778989428385205,1.0,-0.19934095518983225
sentiment_proxy,0.33092248868605084,-0.7169292045140062,-0.061376589601151554,0.34429825283404736,0.5196092524542271,-0.40263559379392466,-0.24167885821905194,0.08374816016647572,-0.391004241922356,-0.5534965913719103,-0.19934095518983225,1.0
