feature,vif,r2_others
vix,20.022550370051693,0.9500563124318204
sigma_252d,7.407316035193997,0.864998334720869
sigma_21d,6.258540699355261,0.8402183435344572
sentiment_proxy,5.6177671079854,0.8219933327996909
r,5.405046077382379,0.8149877011808395
sigma_63d,4.995713793587231,0.7998284046448669
vix_ret_21d,3.5023662922519594,0.7144787504915662
ret_21d,2.2465420234316666,0.5548714470640228
rate_mom_21d,2.078311775366796,0.5188402376137659
vix_ret_5d,2.021385615388919,0.5052898405989706
ret_5d,1.7743215159095886,0.4364042869156328
close,1.6879024573264247,0.40754870303112
